order_id,customer_name,email,product_category,product_name,quantity,unit_price,discount,payment_method,order_status,order_date,delivery_date,rating,region
ORD-0036,Marco Tan,marco.tan@outlook.com,Home & Living,Rice Cooker,1,899.0,0.2,gcash,delivered,2024-08-28,2024-09-07,3,mindanao
ORD-0909,Arnold Tolentino,arnold.tolentino@yahoo.com,Food & Grocery,Canned Goods,1,45.0,0.2,Debit Card,delivered,2024-03-01,2024-03-04,2,Visayas
ORD-0553,Marco Navarro,marco.navarro@outlook.com,Food & Grocery,Rice 5kg,2,250.0,,G-Cash,returned,2024-07-16,,1,VISAYAS
ORD-0707,SAMMY MACAPAGAL,sammy.macapagal@yahoo.com,Clothing,Jogger Pants,1,799.0,0.05,Debit Card,SHIPPED,2024-01-09,2024-01-13,1,Luzon
ORD-0315,Dennis Macaraeg,dennis.macaraeg@outlook.com,Electronics,Phone Case,1,199.0,0.15,cod,Shipped,2024-03-23,2024-03-30,,VISAYAS
ORD-0287,CYNTHIA RAMOS,cynthia.ramos@yahoo.com,Beauty,Lip Tint,3,199.0,0.0,COD,Deliverd,2024-10-03,2024-10-08,5,luzon
ORD-0391,Felix Santiago,felix.santiago@yahoo.com,Beauty,Sunscreen SPF50,1,450.0,0.1,cod,Deliverd,2024-12-23,2024-12-30,1,Visayas
ORD-0012,Gilbert Evangelista,gilbert.evangelista@gmail.com,Electronics,Smart Watch,5,5999.0,0.0,Credit Card,Returned,2024-04-05,,1,Mindanao
ORD-0642,ana uy,ana.uy@outlook.com,Electronics,Laptop Stand,544,,0.15,Cash on Delivery,Deliverd,2024-02-02,2024-02-07,,mindanao
ORD-0330,Christine Dizon,christine.dizon@yahoo.com,Electronics,Laptop Stand,835,850.0,0.15,debit card,Deliverd,2024-06-03,2024-06-07,2,Luzon
ORD-0577,Sammy Padilla,sammy.padilla@yahoo.com,Electronics,Laptop Stand,1,850.0,0.15,Debit Card,DELIVERED,2024-08-31,2024-09-10,3,MINDANAO
ORD-0672,Luz Ocampo,luz.ocampo@yahoo.com,Food & Grocery,Rice 5kg,5,250.0,0.15,Debit Card,returned,2024-03-05,,1,mindanao
ORD-0055,Ronald Villafuerte,ronald.villafuerte@yahoo.com,Home & Living,Rice Cooker,5,899.0,0.15,gcash,returned,2024-02-28,,3,VISAYAS
ORD-0375,Melissa Magsaysay,melissa.magsaysay@yahoo.com,Food & Grocery,Cooking Oil,3,120.0,,DebitCard,DELIVERED,2024-10-18,2024-10-28,4,LUZON
